accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source
W271,1-Sep-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.36,-119.041,WN4K
W640,7-Sep-05,mosquito,Culex pipiens,Davis,Solano,California,6095,West,Pacific,38.52,-121.757,WN4K
W641,9-Sep-05,mosquito,Culex pipiens,Davis,Yolo,California,6113,West,Pacific,38.556,-121.73,WN4K
W799,21-Jun-06,bird,Pica nuttalli,Elverta,Sacramento,California,6067,West,Pacific,38.723,-121.45,WN4K
W801,4-Jul-06,bird,Pica nuttalli,Elverta,Sacramento,California,6067,West,Pacific,38.718,-121.406,WN4K
W369,11-Jul-06,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.32,-119.129,WN4K
W370,11-Jul-06,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.276,-119.099,WN4K
W371,11-Jul-06,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.245,-119.236,WN4K
W372,11-Jul-06,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.245,-119.236,WN4K
W800,11-Jul-06,bird,Aphelocoma californica,Antelope,Sacramento,California,6067,West,Pacific,38.705,-121.373,WN4K
W272,13-Jul-06,bird,Turdus migratorius,Bakersfield,Kern,California,6029,West,Pacific,35.323,-119.072,WN4K
W373,14-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.378,-119.036,WN4K
W273,21-Jul-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.381,-118.941,WN4K
W374,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.149,WN4K
W375,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.349,-119.04,WN4K
W376,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.06,WN4K
W377,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.299,-119.004,WN4K
W378,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.36,-119.021,WN4K
W379,21-Jul-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.326,-119.075,WN4K
W642,21-Jul-06,mosquito,Culex tarsalis,Woodland,Yolo,California,6113,West,Pacific,38.69,-121.781,WN4K
W643,26-Jul-06,mosquito,Culex pipiens,Sacramento,Sacramento,California,6067,West,Pacific,38.513,-121.517,WN4K
W644,26-Jul-06,mosquito,Culex tarsalis,Zamora,Yolo,California,6113,West,Pacific,38.797,-121.882,WN4K
W645,26-Jul-06,mosquito,Culex tarsalis,Woodland,Yolo,California,6113,West,Pacific,38.69,-121.781,WN4K
W274,31-Jul-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.386,-119.203,WN4K
W275,1-Aug-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.377,-119.122,WN4K
W646,1-Aug-06,mosquito,Culex tarsalis,Galt,Sacramento,California,6067,West,Pacific,38.273,-121.326,WN4K
W276,2-Aug-06,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.373,-119.144,WN4K
W277,3-Aug-06,bird,Corvus corax,Bakersfield,Kern,California,6029,West,Pacific,35.39,-118.967,WN4K
W380,4-Aug-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.149,WN4K
W381,4-Aug-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.149,WN4K
W382,4-Aug-06,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.149,WN4K
